Serial Number,Author(s),doi,Species,Plant part used,place,TPC,TFC,TCC,Methodogy,solvent system,scienctific name,result,mislenious,Exatraction technique,FRAP,ABTS,DPPH,Unit meaning
379,"(Okoro Ndukwe et al., 2022)",https://doi.org/10.53936/afjare.2022.17(2).8, passion fruit ,seed,Nigeria,,,,Soxhlet  method,ethanol,Passiflora edulia Sims,,,,,,,
380,"(Ferreira et al., 2022)",https://doi.org/10.3390/agriculture12111856, passion fruit ,Seed,USA,79.65,,,Soxhlet  method,ethanol,P. edulis Sims f. flavicarpa,"the gene expression analyses of passion fruit leaves of
plants submitted to irrigation waters of low to high salinity confirmed a more critical role
of roots compared to leaves under salinity stress",,,,,,
381,"(Viera et al., 2022)",https://doi.org/10.3390/horticulturae8080754, passion fruit ,Seed,Ecuador,86,,,Soxhlet  method,ethanol,P. edulis f. flavicarpa Deneger,"it constitutes a low-cost efficient method for improving seed germination in this taxon
of passion fruit, which is the most commercial in Latin America.",,,,,,
382,"(Restrepo-Serna & Cardona Alzate, 2022)",https://doi.org/10.1016/j.scp.2022.100600, passion fruit ,,,,,,,,pasiflora edulis,,,,,,,
383,"(Viera et al., 2022)",https://doi.org/10.3390/horticulturae8080754, passion fruit ,pulp,Colombia,0.015,,,Supercritical fluid extraction,ethanol,pasiflora edulis,It was shown that economic pre-feasibility depends mainly on the characteristics of the antioxidant obtained in each case and that alone defines the selling price,,,,,,
384,"(Okoro Ndukwe et al., 2022)",https://doi.org/10.53936/afjare.2022.17(2).8, passion fruit ,seed,Nigeria,,,,Soxhlet  method,ethanol,Passiflora edulia Sims,,,,,,,
385,"(Antoniassi et al., 2022)",https://doi.org/10.1590/1981-6723.16821, passion fruit ,seed,Brasil,121.41,,,Soxhlet  method,ethanol,Passiflora edulis Sims,The free fatty acid content varied from 1 to 14% depending on the passion seed manufacturers showing the need of by-product pre-treatment to improve the oil quality,,,,,,
386,"(Teng et al., 2022)",https://doi.org/10.1016/j.molstruc.2022.133309, passion fruit ,peel,China,42.94,,,Soxhlet  method,Dimethylsulfoxide,Passiflora biflora,"study revealed the monosaccharide composi-
tion and glycosidic linkage types of the PFSP60 (hot-water extrac-
tion) and UPFSP60 (ultrasonic-assisted extraction), and compared
their bioactive functions",Hot water extraction,"he dried passion fruit peel was mixed
with distilled water at a solid-liquid ratio of 1:100 (w/v), and ex-
tracted in a water bath at 80C for 2 h",,,,
387,"(Anderson et al., 2022)",https://doi.org/10.1007/s10722-022-01397-4, passion fruit ,fruit pulp,Brazil,"
119.20",,,Supercritical Fluid Extraction, ethanol,Passiflora biflora, the availability of genomics to interrogate tropical species like passion fruit is creating new opportunities to support passion fruit breeding as well as improving our general understanding of the genus. ,,,,,,
388,"(de Carvalho et al., 2018)",https://doi.org/10.1016/j.foodchem.2018.05.097,passion fruit,passion fruit bagasse.,Brazil,55.237,,23.064,Supercritical Fluid Extraction,ethanol,Passiflora edulis sp,he total phenolic content obtained from DPFB was 1.5 times higher than the nonDPFB,,The employed extraction methods were supercritical fluid extraction (SFE) (40-60 C; 17-35 MPa) and pressurized liquid extraction,,,,
389,"(de Oliveira et al., 2021)",https://doi.org/10.3390/foods10091970,passion fruit,fruit pulp,Brazil,68.49,2.15,51.51,Soxhlet  method,,Passiflora edulisSims. f. flavicarpa Deg.,The antioxidant activity decreased (p< 0.05) in examined beverage formulations during storage when measured by the FRAP and ABTS method.,,"For the extract preparation, a 10 g-aliquot of each beverage was homogenized with a mini-Turrax apparatus, centrifuged  and filtered with a 0.45 m-filter",0.336,,,
390,"(Giambanelli et al., 2020)",https://doi.org/10.3390/antiox9070.628,passion fruit,pulp,Ecuador,63.5,,,Soxhlet  method,methanol/water,Passiflora edulis,"Briefly, the high phenolic content and the antioxidant and antihyperglycemic capacity found in this fruit confirmed its potential as a functional fruit.",vitamin C,"Briefly, 0.5 g of the previously freeze-dried sample was extracted using 10 mL of ethanol/water (80:20,v/v), using an ultrasonic bath",346.2,,61.9 1.2 ,
391,"(Mart­nez et al., 2012",http://dx.doi.org/10.1016/j.foodchem.2012.05.057,passion fruit, peel and pulp,Ecuador,246,,2.5,Soxhlet  method,methanol,"Passiflora edulis L., cv. Flovicarpa"," A significant correlation was ob-
served between TPC and the DPPH radical-scavenging activity of
dietary fibre samples extracted with methanol:acetone, while
there was also excellent correlation between TPC and the DPPH
radical-scavenging of samples extracted with ethanol.",,"Materials were then washed under mild conditions to minimise
losses of soluble fibre components (such as pectins and pentosans)
as well as bioactive compounds ",6.9,5.1,5.5,
392,"(Cahyanti et al., 2021)",doi:10.1088/1755-1315/911/1/012085, passion fruit ,pulp,Indonesia,1577,,, maceration method,ethanol,Passiflora edulis var. Sims,". Based on phytochemical screening, the three fruit extracts, namely tomatoes, purple passion fruit and strawberries, contained alkaloids, flavonoids, saponins, tannins and also a class of terpene compounds such as triterpenoids.",vitamin C,Sample extraction was carried out using the maceration method. Fruit samples that have been mashed in the form of juice are put into glass jars and soaked in 500 mL 96% ethano,,,,
393,"(Chassagne & Crouzet, 1998)",https://doi.org/10.1016/s0031-9422(98)00130-7, passion fruit ,fruit pulp,,,,,,,PASSIFLORA EDULIS ,"result confirms the presence of the glucose unit and
an (R)-absolute configuration for C-7.",,,,,,
394,"(Chau et al., 2012)",https://doi.org/10.5897/JMPR12.432, passion fruit ,fruit pulp,Brazil,,114.588,,Soxhlet  method, methanol,Passiflora edulis var. Sims,"Leaves are the main sources of vitexin, isoquercetin, quercetin and rutin, and contain, an average, 90% of the total flavonoids produced by the plant.",,Flavonoids were analyzed from methanolic extract of tissue dried at 40C. ,,,,
395,"(Vangari et al., 2021)",https://doi.org/10.55218/jasr.s1202112428, passion fruit , peel and pulp,India,,,,Soxhlet  method,Deuterium-depleted water,Passiflora edulis,The   present   work   involves   the   microwave-assisted preparation  of  AgNPs  using  PF  extract  as  reducing  and capping  agent  and  exploration  of  their  catalytic  activity ,vitamin C,"The  peel  was  cut  into  small  pieces,  washed and  dried  in  shade.  Finally,  they  were  oven  dried  for  1 hour at 80C and blend to make a fine powder. The PF extract  was  prepared  by  boiling  1  g  of  powder  in  100 mL  DDW. ",,,,
396,"(Nxumalo & Fawole, 2022)",https://doi.org/10.1093/fqsafe/fyac016, passion fruit ,fruit pulp, South Africa,3538.49,,,Soxhlet  method,ethanol,P. edulis f. f lavicarpa,,,"Briefly, 20g of finely powdered plant leaves were mixed with 100mL 70% ethanol in a 250-mL beaker for 30min. ",103.64,,60.9,
397,"(Kawakami et al., 2014)",https://doi.org/10.3390/nu6114794, passion fruit ,fruit seeds,Canada,,,,Supercritical Fluid Extraction,ethanol,Passiflora edulis,"results suggested that after intake of piceatannol, not only intact piceatannol but also its metabolite, isorhapontigenin, contributed to upregulation of SIRT1 expression",,,,,,
398,"(Zhang et al., 2020)",https://doi.org/10.1016/j.jff.2020.103822, passion fruit ,,China,,,,Soxhlet  method,,,"Multiple plant extracts such as phenols, flavonoids, sterols, alkaloids
and aldehyde could control stem cell fate",,,,,,
399,"(Aguill³n Osma et al., 2013)",http://www.scielo.org.co/pdf/penh/v15n1/v15n1a1.pdf, passion fruit ,leaves and fruits,Colombia,91,,82.3,Soxhlet  method,ethanol,Passiflora edulis ,"The cytotoxic and antiproliferative activities observed in the aqueous and juice extracts might be attributed to the high presence of cardiotonic glycosides, compared to the ethanolic extract, which have showed antiproliferative and apoptotic effects on various types of cancer cell",vitamin C, The leaves aqueous extract was prepared dissolving the leaves powder in distilled water at 40C and filtered. ,,,4.5,
400,"(de Carvalho et al., 2018)",https://doi.org/10.1002/jsfa.9118,Passion fruits,pulp,Brazil,,,,Soxhlet  method,,Passiflora setaceaDC,"Passiflora setaceanectar is a potential functional beverage, due its bioactive contents.",Vitamin C,,,,,
401,"(Giambanelli et al., 2020)",https://doi.org/10.3390/antiox9070.628,Passion fruits,Pulp,Ecuador,33.42,,62.3,Soxhlet  method,methanol/water,Passiflora edulis,The total phenolic acids (hydroxybenzoic plus hydroxycinnamic acid derivatives) were the highest concentrated phenolic group in both free and bound phenolic fractions,,,2.9,,,
402,"(LAURA GONZLEZ et al., 2019)",https://doi.org/10.22159/ajpcr.2019.v12i10.33828,Passion fruits,"leaves, flower, and fruit",Colombia.,15.34,114.48,,Soxhlet  method,ethanol,Passiflora edulis f. edulis Sims,"The
ethanolic extract from seed showed the highest antioxidant, antiradical, and inhibitory biological activity of the ACEI so that it could be proposed the
gulupa seed as a promising phytotherapeutic product associated with its phenolic content, especially its flavonoids",Vitamin C,"The degreased product was macerated with ethanol (96%), renewing the solvent every 2 h. A crude ethanol extract of peel (CEP) and seeds (CES) was obtained, which was subjected to liquid-liquid fractionation with dichloromethane, obtaining dichloromethane fraction of peel (DFP), and seed (DFS) fraction, in addition to, the hydroalcoholic residues of peel (HRP) and seed (HRS).",70,,82.81,
403,"(Putra et al., 2020)",http://dx.doi.org/10.31788/RJC.2020.1325645,Passion fruits,peels,Indonesia,"
119.20",,,,ethanol,Passiflora sp.,The highest isoorientin content is in ethanolic extract of purple passion fruit peel.,,"The sample
powder, inserted into a closed vessel, added ethanol as the solvent (7,5 times) of the simplicia, left for 5 days and stirred frequently, and filtered the mixture.",,,,
404,"(Cabral et al., n.d.)",https://sciforum.net/manuscripts/5549/slides.pdf,Passion fruits,peels,Brazil,7.71,3.5,,hydroethanolic extract , ethanol,Passiflora edulis fo. flavicarpa Degener,results demonstrated the potential efect vasorelaxant of AFM suggesting its potential as a source of bioactive molecules. ,,"The flour was extracted in ethanol 50% (1:20, p/v), by maceration for seven days, filtered, concentrated by rotaevaporator and freeze-dried, obtained the hydroethanolic extract",,,,
405,"(Melo et al., 2020)",https://doi.org/10.9755/ejfa.2020.v32.i12.2224,Passion fruits,fruit pulp,Brazil,,114.588,,Soxhlet  method,methanol-water,Passiflora edulis," The fruits of conventional
cultivation without grafting showed the best results for
the physical characteristics, except for the variable pulp
yield, where the fruits from conventional cultivation with
grafting stood out.",Vitamin C,,,,,
406,"(Matsui et al., 2013)",10.1021/bk-2013-1129.ch012,Passion fruits,seeds,,,,,superficial method,,Passiflora edulis,,Vitamin C,,,,,
407,"(Medina et al., 2017)",10.12691/jfnr-5-11-2,Passion fruits,shell,Colombia,,,,superficial method,,(Passiflora tripartita var. mollissima,"Passiflora tripartita var. mollisima shell namely phytoprostanes (seven) and to identify 14 phenolic compounds (including cinnamoyl acid derivatives, flavonoid-O-glycoside, flavonoid-C-glycosides",Vitamin C,,,,,
408,"(Jagessar, 2017)",https://www.phytojournal.com/archives/2017/vol6issue6/PartX/6-6-91-929.pdf,Passion fruits,,,,,,,,Passiflora edulis,,,: A few drops of concentrated hydrochloric acid were added to a small amount of an alcoholic extract of the plant material,,,,
409,"(Sebastian & Jose, 2018)",https://www.researchgate.net/publication/330334399_Antidiabetic_and_Antioxidant_Profile_of_Three_Varieties_of_Passion_Fruit enrichId=rgreq-3593fe8abe92f6854333d11a29a239baXXX&enrichSource=Y292ZXJQYWdlOzMzMDMzNDM5OTtBUzo4Mjc5NTQzNjM5MTIxOTJAMTU3NDQxMTExMTA5MQ%3D%3D&el=1_x_2&_esc=publicationCoverPdf,Passion fruits,pulp,India,12.1,,,Soxhlet  method,distilled water,Passiflora edulis,T he presence of phenols and flavonoids contributed significantly to the hypoglycemic activity of passion fruit. T he presence of numerous antioxidant phytochemicals present in passion fruit enhance its therapeutic significance.,Vitamin C,Ethanolic extracts were used for the phytochemical screening and determination of total phenol content. Pulp of the passion fruit was taken and homogenized using ethanol for the preparation of ethanolic extracts.,,,149.623,
410,"(Fazilah et al., 2018)",https://doi.org/10.1016/j.jff.2018.07.039,,,,,,,,,,,,,,,,
411,"(Xia et al., 2021)",https://doi.org/10.1038/s41438-020-00455-1,Passion fruits,,China,,,,,,Passiflora edulis Sims,,Vitamin C,,,,,
412,"(Dias et al., 2019)",http://192.248.93.15/handle/123456789/422,Passion fruits,pulp,Sri Lanka,15.83,,,Soxhlet  method,,Passiflora edulis,Antibacterial activity of methanol extract was higher than that of water extract,Vitamin C,Water extracts and methanol extracts of dried samples,,,,
413,"(Patel et all., 2009)",https://www.researchgate.net/profile/Sita-Patel/publication/282815299_Passiflora_Incarnata_Linn_A_Review_on_Morphology_Phytochemistry_and_Pharmacological_Aspects/links/562b36c208ae22b17031f25d/Passiflora-Incarnata-Linn-A-Review-on-Morphology-Phytochemistry-and-Pharmacological-Aspects.pdf,Passion fruits,pulp,,15.83,,,,,Passiflora edulis,,,,,,,
414,"(By et al., n.d.)",http://library.tkmcas.ml:8080/jspui/bitstream/123456789/97/1/Jubaira%20%282016%29%20-%20ANTIMICROBIAL%2C%20ANTIOXIDANT%20ACTIVITIES%20AND%20PHYTOCHEMICAL%20ANALYSIS%20OF%20PASSIFLORA%20EDULIS.pdf,Passion fruits,leaf,India,14.76,,743,superficial method,distilled water,Passiflora edulis,"The fruit extract showed bands at 1643 indicating the presence of the carbonyl group, that is a strong absorption band due to C=O stretching vibration observed in the region 1800-1550 cm",Vitamin C,The aqueous extract of each sample was prepared by soaking 10g of powdered samples in 200ml of distilled water for 72 hours. ,,,,
415,"(Mart­nez et al., 2012)",https://doi.org/10.1016/j.foodchem.2012.05.057,Passion fruits,"peel, pulp and seeds", Ecuado,245,246,,Soxhlet  method,,Passiflora edulis,The correlation between antioxidant activity and total phenolic compounds has been widely studied in different fruit and vegetables,Carbohydrates ,"The first procedure consisted of a dynamic
maceration in absolute ethanol for 24 h at room temperature with
a solvent: material ratio of 1:20. In the second procedure, original
samples (2.5 g) were extracted by shaking at room temperature for
60 min with 20 mL of methanolwaterHCl (50:50 v/v, pH 2) and
by shaking at room temperature for 60 min with 20 mL of ace-
tonewater (70:30 v/v).",4.6 0.33,38,1.5 0.16,
416,"(Zabot et al., 2021)",https://doi.org/10.3390/molecules26175117,Passion fruits,pulp,India,,,,,,Passiflora edulis,,,,,,,
417,"(Inti & Eissn, 2022)",http://eprints.intimal.edu.my/1618/1/Vol.2022_14.pdf,Passion fruits,pulp,India,,,,,,Passiflora edulis,,,,,,,
418,"(de Carvalho et al., 2018)",https://doi.org/10.1002/jsfa.9118,Passion fruits,pulp,Brazil,,,,,,Passiflora setaceaDC,"Passiflora setaceanectar is a potential functional beverage, due its bioactive contents.",Vitamin C,,,,,
419,"(Raphaela et al., 2022)",https://doi.org/10.5897/JMPR2021.7190,Passion fruits,Seeds,Brazil,,35,,Soxhlet  method,ethanol,Passiflora setacea D.C.,Compounds identification in leaf extracts from bothin vivoand micropropagated plants performed by HPLC-UV-ESI-MS/TOF analyses revealed similar chromatographic profiles.,Vitamin C,"Leaves fromin vivoand micropropagated plants were lyophilized for five days, then powdered and weighed. In order to determine the best flavonoid extraction procedure.",,,64.4 1.8,
420,"(Arturo-Perdomo et al., 2021)",https://doi.org/10.1007/s12161-021-02020-5,Passion fruits,Seed,Colombia,,,,Supercritical Fluid Extraction,methanol,Passiflora edulis,"for octadecanamide, three different isomers were detected in passion fruit, including octadecanamide, 9-octadecenamide, and an octadecenamide isomer",,,,,,
421,"(Zas et al., n.d.)",https://wjpr.s3.ap-south-1.amazonaws.com/article_issue/1456747766.pdf,Passion fruits,leaf,India,,,,Soxhlet  method, hexane extract,Passiflora edulis,The phenolic compounds present in the extract of passiflora edulis might be the major contributors to the antioxidant activities.,Vitamin C,The petroleum ether and chloroform extracts of Passiflora edulis leaf on DPPH free radical scavenging assay,,58.88,,
422,"(Jusuf et al., 2020)",https://doi.org/10.2147%2FCCID.S229743,Passion fruits,Seed,Indonesia,14.76,,743,Soxhlet  method,,P. edulis Sims var. edulis,The passion fruit purple variant seed extract showed more than 50% colony inhibition at a concentration of 20%.,tannin,"e The extract was dissolved in DMSO into multiple concentrations, of 1.25%, 2.5%, 5%, 10%, 20%, and 40%",,123,,
423,"(Jim©nez-S¡nchez et al., 2015)",https://doi.org/10.1080/10408398.2014.914019,Passion fruits,pulp,Brazil,,,,, hexane extract,Passiflora edulis,"Juice samples subjected to sonication showed significant rises in carotenoid content, registering great improvement in extractability of carotenoids (9%) when compared to the control",Vitamin C,,,,,
424,"(Casarotti et al., 2018)",https://doi.org/10.1016/j.lwt.2018.08.010,Passion fruits,"peel, pulp and seeds",Brazil,384.44,56.07,,Soxhlet  method,,Passiflora edulis,"The phytochemical contents of fruit by-products indicate that they have high levels of phenolic compounds, carotenoids and fibers, besides a high antioxidant activity, indicating their potential to be used as an added-value ingredient in health-enhancing food products.",,"The material was dried in an oven with air circulation  at 60C until constant weight, grounded to obtain a fine powder using a processor which was standardized to particle size<42¼m to facilitate the mixture of these by-products with goat milk and cereal extracts.",,,,
425,"(Samyor, Deka and Das, 2018)",doi:10.1007/s13197-018-3439-9,Passion fruits,pulp,India,129.49,,,Supercritical Fluid Extraction,distilled water,Passiflora edulis,Results revealed that the incorporation of passion fruit powders significantly affected the physical and phytochemical properties of extrudates.,vitamin C,"Passion fruit pulp was obtained by squeezing the fruit, and the pulp was made into powder using foam mat drying.",,,65.79,
426,"(Samyor et al., 2020)",https://doi.org/10.1007/s13197-020-04596-y,Passion fruits,pulp,India,258.12,,13.26,Soxhlet  method,distilled water,Passiflora edulis Sims,"n passion fruit pulp, coumaric acid, syringic acid, and sinapic acid were predominant whereas, in foam mat powder chromogenic acid, trans-ferulic acid, and vanillic acid were higher.",vitamin C,The passion fruit pulp and methylcellulose mixture was whipped in a modified kitchen blender,,,60.53,
427,"(dos Santos Soares et al., 2021)",https://doi.org/10.1007/s11627-021-10179-z,passion fruit,flower buds,Brazil,,,,Soxhlet  method,liquid nitrogen,Passiflora gibertiiN. E. Brown,"Flow cytometry revealed that all embryogenic calluses were diploid, thus ensuring genetic stability of the embryos in relation to the explants",,,,,,
428,"(de Carvalho et al., 2018)",https://doi.org/10.1016/j.foodchem.2018.05.097,passion fruit,pulp,Brazil,78.5,1.3,35.2,Soxhlet  method,water/tetrahydrofuran/trifluoracetic acid,Passiflora setacea,"the training system, as isolated factor, had no influence onPassiflora setaceacomposition, since there was no significant difference between trellis and espalier treatments in phytochemical content, with exception to vitamin C with higher means in espalier system.",vitamin C,"The pure pulps were vacuum packed  packed separately in polyethylene bags, frozen and stored at ˆ’80C, until chemical analysis. Pulp moisture was measured by drying at 105C and at 70C under vacuum, according to standard procedures.",,82.4,47.1,
429,"(de Carvalho et al., 2018)",https://doi.org/10.1016/j.foodchem.2018.05.097,passion fruit,passion fruit bagasse.,Brazil,55.237,,23.064,Supercritical Fluid Extraction,ethanol in water,Passiflora edulis sp,he total phenolic content obtained from DPFB was 1.5 times higher than the nonDPFB,,The employed extraction methods were supercritical fluid extraction (SFE) (40-60 C; 17-35 MPa) and pressurized liquid extraction,,,,
430,"(de Oliveira et al., 2021)",https://doi.org/10.3390/foods10091970,passion fruit,fruit pulp,Brazil,68.49,2.15,51.51,Soxhlet  method,,Passiflora edulisSims. f. flavicarpa Deg.,The antioxidant activity decreased (p< 0.05) in examined beverage formulations during storage when measured by the FRAP and ABTS method.,,"For the extract preparation, a 10 g-aliquot of each beverage was homogenized with a mini-Turrax apparatus, centrifuged  and filtered with a 0.45 m-filter",0.336,,,
431,"(Giambanelli et al., 2020)",https://doi.org/10.3390/antiox9070.628,passion fruit,pulp,Ecuador,63.5,,,Soxhlet  method,methanol/water,Passiflora edulis,"Briefly, the high phenolic content and the antioxidant and antihyperglycemic capacity found in this fruit confirmed its potential as a functional fruit.",vitamin C,"Briefly, 0.5 g of the previously freeze-dried sample was extracted using 10 mL of ethanol/water (80:20,v/v), using an ultrasonic bath",346.2,,61.9 1.2 ,
432,"(Mart­nez et al., 2012",http://dx.doi.org/10.1016/j.foodchem.2012.05.057,passion fruit, peel and pulp,Ecuador,246,,2.5,Soxhlet  method,methanol,"Passiflora edulis L., cv. Flovicarpa"," A significant correlation was ob-
served between TPC and the DPPH radical-scavenging activity of
dietary fibre samples extracted with methanol:acetone, while
there was also excellent correlation between TPC and the DPPH
radical-scavenging of samples extracted with ethanol.",,"Materials were then washed under mild conditions to minimise
losses of soluble fibre components (such as pectins and pentosans)
as well as bioactive compounds ",6.9,5.1,5.5,
433,"(Cahyanti et al., 2021)",doi:10.1088/1755-1315/911/1/012085, passion fruit ,pulp,Indonesia,1577,,, maceration method,ethanol,Passiflora edulis var. Sims,". Based on phytochemical screening, the three fruit extracts, namely tomatoes, purple passion fruit and strawberries, contained alkaloids, flavonoids, saponins, tannins and also a class of terpene compounds such as triterpenoids.",vitamin C,Sample extraction was carried out using the maceration method. Fruit samples that have been mashed in the form of juice are put into glass jars and soaked in 500 mL 96% ethano,,,,
434,"(Chassagne & Crouzet, 1998)",https://doi.org/10.1016/s0031-9422(98)00130-7, passion fruit ,fruit pulp,,,,,,,PASSIFLORA EDULIS ,"result confirms the presence of the glucose unit and
an (R)-absolute configuration for C-7.",,,,,,
435,"(Lima et al., n.d.)",https://www.sbmicrobiologia.org.br/29cbm-anais/resumos/15/R0414-2.PDF, passion fruit ,"peels, seeds and pulp",BRAZIL,,,,,,Passiflora edulis,These results indicate the potential use of passion fruit residue flour as natural preservative for dry foods.,vitamin C,,,,,
436,"(Ghada et al., 2020)",https://doi.org/10.3390/molecules25143203, passion fruit ,peel,Portugal,,,,solid-liquid extraction,ethanol/water,Passiflora edulisSims,The extract obtained by the optimized method revealed a higher bioactivity,,Powdered epicarp samples (1 g) were mixed with 20 mL of solvent and processed by stirring at 500 rpm,,,"20.4 , ",
437,"(Giampieri & Battino, 2020)",https://doi.org/10.3390/ijms21093278, passion fruit ,peel,Brazil,382,,586.7,,,Passiflora edulis Sims f. edulis,,,,,,,
438,"(Macoris et al., 2012)",https://doi.org/10.1002/jsfa.5556, passion fruit ,pulp,Brazil,361.9,,,,methanol,Passiflora edulis var. Sims,TPC values increased during ripening for both organic and conventional passion fruit.,vitamin C,The conditions to extract TPC were 2 mL passion fruit pulp and 9 mL extraction solution containing 40% methanol:water (v/v).,,,,
439,"(Chau et al., 2012)",https://doi.org/10.5897/JMPR12.432, passion fruit ,fruit pulp,Brazil,,114.588,,Soxhlet  method, methanolic ,Passiflora edulis var. Sims,"Leaves are the main sources of vitexin, isoquercetin, quercetin and rutin, and contain, an average, 90% of the total flavonoids produced by the plant.",,Flavonoids were analyzed from methanolic extract of tissue dried at 40C. ,,,,
440,"(Vangari et al., 2021)",https://doi.org/10.55218/jasr.s1202112428, passion fruit , peel and pulp,India,,,,Soxhlet  method,Deuterium-depleted water,Passiflora edulis,The   present   work   involves   the   microwave-assisted preparation  of  AgNPs  using  PF  extract  as  reducing  and capping  agent  and  exploration  of  their  catalytic  activity ,vitamin C,"The  peel  was  cut  into  small  pieces,  washed and  dried  in  shade.  Finally,  they  were  oven  dried  for  1 hour at 80C and blend to make a fine powder. The PF extract  was  prepared  by  boiling  1  g  of  powder  in  100 mL  DDW. ",,,,
441,"(Nxumalo & Fawole, 2022)",https://doi.org/10.1093/fqsafe/fyac016, passion fruit ,fruit pulp, South Africa,3538.49,,,Soxhlet  method,ethanol,P. edulis f. f lavicarpa,,,"Briefly, 20g of finely powdered plant leaves were mixed with 100mL 70% ethanol in a 250-mL beaker for 30min. ",103.64,,60.9,
442,"(Kawakami et al., 2014)",https://doi.org/10.3390/nu6114794, passion fruit ,fruit seeds,Canada,,,,Supercritical Fluid Extraction,ethanol,Passiflora edulis,"results suggested that after intake of piceatannol, not only intact piceatannol but also its metabolite, isorhapontigenin, contributed to upregulation of SIRT1 expression",,,,,,
443,"(Zhang et al., 2020)",https://doi.org/10.1016/j.jff.2020.103822, passion fruit ,,,,,,,,,"Multiple plant extracts such as phenols, flavonoids, sterols, alkaloids
and aldehyde could control stem cell fate",,,,,,
444,"(Aguill³n Osma et al., 2013)",http://www.scielo.org.co/pdf/penh/v15n1/v15n1a1.pdf, passion fruit ,leaves and fruits,Colombia,91,,82.3,,ethanol,Passiflora edulis ,"The cytotoxic and antiproliferative activities observed in the aqueous and juice extracts might be attributed to the high presence of cardiotonic glycosides, compared to the ethanolic extract, which have showed antiproliferative and apoptotic effects on various types of cancer cell",vitamin C, The leaves aqueous extract was prepared dissolving the leaves powder in distilled water at 40C and filtered. ,,,3.5,
445,"(Ravimannan & Nisansala, 2017)",http://dx.doi.org/10.22192/ijarbs.2017.04.03.010, passion fruit , peel and pulp,Sri Lanka,355.8,543.5,,,,Passiflora edulis,"The antioxidant activity can be depending on several factors such as maturity stage, climate, species...etc. ",,,,,34.15,
446,"(Jeyasekaran & Deepa, 2021)",DOI: 10.9734/JPRI/2021/v33i58B34230, passion fruit ,fruit pulp,India,,,,,,Passiflora edulisf., The aqueous extract of P. edulis leaves              showed a significant anti-inflammatory property on mice,,,,,,
447,"(Urrego et al., 2021)",https://doi.org/10.1093/jpp/rgab118, passion fruit ,fruit pulp,Colombia,,,78.3,aqueous extract,EtOH, P.edulis f.flavicarpa,"The BF and isolated compounds were active in the mouse ear oedema model induced by multiple topical application of TPA, highlighting the activity of the flavonoid-rich fraction. ",,"infusion with boiled distilled water (90C, 1:10 w/v) for 10min to simulate the extraction method used in popular medicine",,,,
448,"(LAURA GONZLEZ et al., 2019)",https://doi.org/10.22159/ajpcr.2019.v12i10.33828,Passion fruits,"leaves, flower, and fruit",Colombia.,15.34,114.48,,Soxhlet  method,ethanol,Passiflora edulis f. edulis Sims,"The
ethanolic extract from seed showed the highest antioxidant, antiradical, and inhibitory biological activity of the ACEI so that it could be proposed the
gulupa seed as a promising phytotherapeutic product associated with its phenolic content, especially its flavonoids",Vitamin C,"The degreased product was macerated with ethanol (96%), renewing the solvent every 2 h. A crude ethanol extract of peel (CEP) and seeds (CES) was obtained, which was subjected to liquid-liquid fractionation with dichloromethane, obtaining dichloromethane fraction of peel (DFP), and seed (DFS) fraction, in addition to, the hydroalcoholic residues of peel (HRP) and seed (HRS).",70.6.17,,82.81,
449,"(Putra et al., 2020)",http://dx.doi.org/10.31788/RJC.2020.1325645,Passion fruits,peels,Indonesia,"
119.20",,,,ethanol,Passiflora sp.,The highest isoorientin content is in ethanolic extract of purple passion fruit peel.,,"The sample
powder, inserted into a closed vessel, added ethanol as the solvent (7,5 times) of the simplicia, left for 5 days and stirred frequently, and filtered the mixture.",,,,
450,"(Mart­nez et al., 2012",http://dx.doi.org/10.1016/j.foodchem.2012.05.057,passion fruit, peel and pulp,Ecuador,246,,2.5,Soxhlet  method,methanol,"Passiflora edulis L., cv. Flovicarpa"," A significant correlation was ob-
served between TPC and the DPPH radical-scavenging activity of
dietary fibre samples extracted with methanol:acetone, while
there was also excellent correlation between TPC and the DPPH
radical-scavenging of samples extracted with ethanol.",Vitamin C,"Materials were then washed under mild conditions to minimise
losses of soluble fibre components (such as pectins and pentosans)
as well as bioactive compounds ",6.9,5.1,5.5,
451,"(Guedes et al., 2020)",https://doi.org/10.1590/fst.46320,passion fruit,pulp,Brazil,,11.41,32.68,Ultrasonic method,ethanol,"Passiflora edulis L., cv. Flovicarpa",,,,,,,
452,"(Ramaiya et al., 2021)",https://doi.org/10.1371/journal.pone.0255059,passion fruit,pulp,Brazil,174.76,29.14,,Soxhlet  method,methanol,Passiflora quadrangularisL.,"Organic cultivation enhanced the antioxidant activities and accumulation of secondary metabolites particularly flavonoids in the leaves and pulp, while phenolics in mesocarp.",,The extraction was carried out with the aid of orbital shaker set at 160 rpm to further facilitate the extraction.,,,,
453,"(Guimar£es et al., 2020)",https://doi.org/10.1590/0102-33062019abb0148,passion fruit,seeds,Italy,538.49,,,Soxhlet  method, NaOH,PASSIFLORA EDULIS SIMS VAR. EDULIS,"The high stigmasterol and the low ²-sitosterol percentage, characterize the purple Passiflora edulisseed oil. ",,,,,,
